,superkingdom,phylum,clade,class,order,family,genus,species,strain,taxon
Proteobacteria_7957,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,,,Acetobacteraceae
Proteobacteria_8207,Bacteria,Proteobacteria,,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Ferriphaselus,Ferriphaselus amnicola,,Ferriphaselus amnicola
Proteobacteria_8557,Bacteria,Proteobacteria,,Betaproteobacteria,,,,,,Betaproteobacteria
Proteobacteria_8790,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Candidatus Symbiobacter,Candidatus Symbiobacter mobilis,Candidatus Symbiobacter mobilis CR,Candidatus Symbiobacter mobilis CR
Proteobacteria_881,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,,Klebsiella pneumoniae
Proteobacteria_9698,Bacteria,Proteobacteria,,Gammaproteobacteria,Chromatiales,Woeseiaceae,Woeseia,Woeseia oceani,,Woeseia oceani
Spirochaetes_28,Bacteria,Spirochaetes,,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira,Leptospira biflexa,Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)',Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)'
Actinobacteria_2062,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Micrococcales,Microbacteriaceae,Aurantimicrobium,,,Aurantimicrobium
Actinobacteria_659,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus erythropolis,,Rhodococcus erythropolis
Cyanobacteria_1,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. PCC 7502,,Synechococcus sp. PCC 7502
Firmicutes_Tenericutes_414,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Lachnospiraceae,Cellulosilyticum,Cellulosilyticum sp. WCF-2,,Cellulosilyticum sp. WCF-2
Proteobacteria_3485,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Candidatus Pantoea carbekii,,Candidatus Pantoea carbekii
Proteobacteria_5512,Bacteria,Proteobacteria,,Deltaproteobacteria,Myxococcales,Sandaracinaceae,Sandaracinus,Sandaracinus amylolyticus,,Sandaracinus amylolyticus
Proteobacteria_7366,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Cereibacter,Cereibacter sphaeroides,,Cereibacter sphaeroides
Proteobacteria_7473,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sinipercae,,Sphingomonas sinipercae
Proteobacteria_7555,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,,,,Sphingomonadaceae
Bacteroidetes_1024,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium nackdongense,,Flavobacterium nackdongense
Bacteroidetes_1066,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp. F-29,,Flavobacterium sp. F-29
Bacteroidetes_420,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Hymenobacteraceae,Rufibacter,Rufibacter sp. DG15C,,Rufibacter sp. DG15C
Firmicutes_Tenericutes_277,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus swuensis,,Paenibacillus swuensis
Firmicutes_Tenericutes_4395,Bacteria,Tenericutes,Terrabacteria group,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,,,Mycoplasma
Firmicutes_Tenericutes_4569,Bacteria,Firmicutes,Terrabacteria group,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalibaculum,Faecalibaculum rodentium,,Faecalibaculum rodentium
Fusobacteria_96,Bacteria,Fusobacteria,,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,,,,Fusobacteriaceae
Nitrospirae_2,Bacteria,Nitrospirae,,Thermodesulfovibrionia,Thermodesulfovibrionales,,,,,Thermodesulfovibrionales
Proteobacteria_11119,Bacteria,Proteobacteria,,Gammaproteobacteria,Oceanospirillales,Oleiphilaceae,Oleiphilus,Oleiphilus messinensis,,Oleiphilus messinensis
Proteobacteria_4428,Bacteria,Proteobacteria,,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas salmonicida,,Aeromonas salmonicida
Proteobacteria_5572,Bacteria,Proteobacteria,,Deltaproteobacteria,Syntrophales,Syntrophaceae,Desulfobacca,Desulfobacca acetoxidans,Desulfobacca acetoxidans DSM 11109,Desulfobacca acetoxidans DSM 11109
Proteobacteria_6738,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium sp. NBSH29,,Mesorhizobium sp. NBSH29
Proteobacteria_7963,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,,,Acetobacteraceae
Proteobacteria_7977,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodospirillales,,,,,Rhodospirillales
Proteobacteria_8068,Bacteria,Proteobacteria,,Alphaproteobacteria,Holosporales,Holosporaceae,,endosymbiont of Acanthamoeba sp. UWC8,,endosymbiont of Acanthamoeba sp. UWC8
Proteobacteria_8596,Bacteria,Proteobacteria,,Betaproteobacteria,,Casimicrobiaceae,Casimicrobium,Casimicrobium huifangae,,Casimicrobium huifangae
Proteobacteria_8679,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,,,,Comamonadaceae
Proteobacteria_8770,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,,Tepidimonas,Tepidimonas taiwanensis,,Tepidimonas taiwanensis
Proteobacteria_8793,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Rhodoferax antarcticus,,Rhodoferax antarcticus
Spirochaetes_163,Bacteria,Spirochaetes,,Spirochaetia,Spirochaetales,,,,,Spirochaetales
Actinobacteria_2393,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Micrococcales,Promicromonosporaceae,Cellulosimicrobium,Cellulosimicrobium sp. BI34T,,Cellulosimicrobium sp. BI34T
Proteobacteria_10114,Bacteria,Proteobacteria,,Gammaproteobacteria,Chromatiales,,,,,Chromatiales
Proteobacteria_3977,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Candidatus Fukatsuia,Candidatus Fukatsuia symbiotica,,Candidatus Fukatsuia symbiotica
Proteobacteria_4217,Bacteria,Proteobacteria,,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Flocculibacter,Flocculibacter collagenilyticus,,Flocculibacter collagenilyticus
Proteobacteria_4503,Bacteria,Proteobacteria,,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas veronii,,Aeromonas veronii
Proteobacteria_4705,Bacteria,Proteobacteria,,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella inventionis,,Shewanella inventionis
Proteobacteria_6964,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Ensifer,Ensifer sojae,Ensifer sojae CCBAU 05684,Ensifer sojae CCBAU 05684
Proteobacteria_8623,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Diaphorobacter,Diaphorobacter aerolatus,,Diaphorobacter aerolatus
Proteobacteria_8681,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax citrulli,,Acidovorax citrulli
Proteobacteria_9238,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus gilardii,,Cupriavidus gilardii
Proteobacteria_9702,Bacteria,Proteobacteria,,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Beggiatoa,Beggiatoa leptomitoformis,,Beggiatoa leptomitoformis
Acidobacteria_3,Bacteria,Acidobacteria,,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Luteitalea,Luteitalea sp. TBR-22,,Luteitalea sp. TBR-22
Actinobacteria_2303,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Micrococcales,,,,,Micrococcales
Actinobacteria_2392,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Micrococcales,,Luteimicrobium,Luteimicrobium xylanilyticum,,Luteimicrobium xylanilyticum
Actinobacteria_2432,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Micrococcales,Cellulomonadaceae,Cellulomonas,Cellulomonas sp. zg-ZUI222,,Cellulomonas sp. zg-ZUI222
Actinobacteria_374,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes sp. OR16,,Actinoplanes sp. OR16
Actinobacteria_478,Bacteria,Actinobacteria,Terrabacteria group,,,,,,,Terrabacteria group
Actinobacteria_495,Bacteria,Actinobacteria,Terrabacteria group,,,,,,,Terrabacteria group
Firmicutes_Tenericutes_1114,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Clostridiales Family XVI. Incertae Sedis,Carboxydocella,Carboxydocella thermautotrophica,,Carboxydocella thermautotrophica
Firmicutes_Tenericutes_585,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Oscillospiraceae,Pseudoclostridium,Pseudoclostridium thermosuccinogenes,,Pseudoclostridium thermosuccinogenes
Proteobacteria_11145,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter sp. JH2,,Marinobacter sp. JH2
Proteobacteria_4436,Bacteria,Proteobacteria,,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas salmonicida,,Aeromonas salmonicida
Proteobacteria_5508,Bacteria,Proteobacteria,,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,,Sorangium cellulosum
Proteobacteria_6998,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacterium tumefaciens,,Agrobacterium tumefaciens
Proteobacteria_7005,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium rosettiformans,,Rhizobium rosettiformans
Proteobacteria_7129,Bacteria,Proteobacteria,,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas mediterranea,,Brevundimonas mediterranea
Proteobacteria_7215,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Sulfitobacter,Sulfitobacter alexandrii,,Sulfitobacter alexandrii
Proteobacteria_7978,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Defluviicoccus,Defluviicoccus vanus,,Defluviicoccus vanus
Proteobacteria_8065,Bacteria,Proteobacteria,,Alphaproteobacteria,Rickettsiales,,,Rickettsiales endosymbiont of Stachyamoeba lipophora,,Rickettsiales endosymbiont of Stachyamoeba lipophora
Proteobacteria_8222,Bacteria,Proteobacteria,,Betaproteobacteria,Nitrosomonadales,Sulfuricellaceae,,,,Sulfuricellaceae
Proteobacteria_8244,Bacteria,Proteobacteria,,Betaproteobacteria,Nitrosomonadales,Sulfuricellaceae,Sulfuriferula,,,Sulfuriferula
Proteobacteria_8534,Bacteria,Proteobacteria,,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,,,Azospira
Proteobacteria_8571,Bacteria,Proteobacteria,,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Azoarcus,Azoarcus sp. DD4,,Azoarcus sp. DD4
Proteobacteria_8781,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Ottowia,,,Ottowia
Proteobacteria_8836,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Schlegelella,Schlegelella brevitalea,,Schlegelella brevitalea
Proteobacteria_9174,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Mycoavidus,,,Mycoavidus
Bacteroidetes_1015,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp. HJ-32-4,,Flavobacterium sp. HJ-32-4
Bacteroidetes_1048,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp. F-70,,Flavobacterium sp. F-70
Bacteroidetes_426,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Hymenobacteraceae,,,,Hymenobacteraceae
Bacteroidetes_994,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp. I3-2,,Flavobacterium sp. I3-2
Firmicutes_Tenericutes_647,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium saccharoperbutylacetonicum,,Clostridium saccharoperbutylacetonicum
Firmicutes_Tenericutes_718,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Clostridiaceae,,,,Clostridiaceae
Proteobacteria_10113,Bacteria,Proteobacteria,,Gammaproteobacteria,Chromatiales,Thioalkalibacteraceae,Guyparkeria,Guyparkeria halophila,,Guyparkeria halophila
Proteobacteria_10521,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida,,Pseudomonas putida
Proteobacteria_4453,Bacteria,Proteobacteria,,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila,,Aeromonas hydrophila
Proteobacteria_6860,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Neorhizobium,,,Neorhizobium
Proteobacteria_6861,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium rhizoryzae,,Rhizobium rhizoryzae
Proteobacteria_6969,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium fredii,,Sinorhizobium fredii
Proteobacteria_8684,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,,,Acidovorax
Acidobacteria_5,Bacteria,Acidobacteria,,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Luteitalea,,,Luteitalea
Actinobacteria_1453,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Nakamurellales,Nakamurellaceae,Nakamurella,Nakamurella sp. PAMC28650,,Nakamurella sp. PAMC28650
Actinobacteria_180,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. So13.3,,Streptomyces sp. So13.3
Actinobacteria_284,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Acidothermales,Acidothermaceae,Acidothermus,Acidothermus cellulolyticus,Acidothermus cellulolyticus 11B,Acidothermus cellulolyticus 11B
Actinobacteria_474,Bacteria,Actinobacteria,Terrabacteria group,,,,,,,Terrabacteria group
Bacteroidetes_512,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Dysgonomonadaceae,,,,Dysgonomonadaceae
Bacteroidetes_918,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Schleiferiaceae,Owenweeksia,Owenweeksia hongkongensis,Owenweeksia hongkongensis DSM 17368,Owenweeksia hongkongensis DSM 17368
Fusobacteria_44,Bacteria,Fusobacteria,,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum,,Fusobacterium nucleatum
Planctomycetes_59,Bacteria,Planctomycetes,PVC group,Planctomycetia,Pirellulales,,,,,Pirellulales
Proteobacteria_10765,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,Pseudomonas
Proteobacteria_4363,Bacteria,Proteobacteria,,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas simiae,,Aeromonas simiae
Proteobacteria_5513,Bacteria,Proteobacteria,,Deltaproteobacteria,Myxococcales,Sandaracinaceae,Sandaracinus,Sandaracinus amylolyticus,,Sandaracinus amylolyticus
Proteobacteria_6659,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Parvibaculaceae,Kaustia,Kaustia mangrovi,,Kaustia mangrovi
Proteobacteria_6672,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium sp. AA22,,Mesorhizobium sp. AA22
Proteobacteria_7141,Bacteria,Proteobacteria,,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,,,,Caulobacteraceae
Proteobacteria_7174,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomonadales,Hyphomonadaceae,,,,Hyphomonadaceae
Proteobacteria_7380,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,,Rhodobacteraceae
Proteobacteria_7564,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,Erythrobacter neustonensis,,Erythrobacter neustonensis
Proteobacteria_8198,Bacteria,Proteobacteria,,,,,,,,Proteobacteria
Proteobacteria_8221,Bacteria,Proteobacteria,,Betaproteobacteria,Nitrosomonadales,Sulfuricellaceae,Sulfurimicrobium,Sulfurimicrobium lacus,,Sulfurimicrobium lacus
Proteobacteria_8592,Bacteria,Proteobacteria,,,,,,,,
Proteobacteria_8807,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Ramlibacter,Ramlibacter tataouinensis,Ramlibacter tataouinensis TTB310,Ramlibacter tataouinensis TTB310
Spirochaetes_166,Bacteria,Spirochaetes,,Spirochaetia,,,,,,Spirochaetia
Actinobacteria_481,Bacteria,Actinobacteria,Terrabacteria group,Thermoleophilia,Miltoncostaeales,Miltoncostaeaceae,Miltoncostaea,,,Miltoncostaea
Deinococcus-Thermus_0,Bacteria,Deinococcus-Thermus,Terrabacteria group,Deinococci,Trueperales,Trueperaceae,Truepera,Truepera radiovictrix,Truepera radiovictrix DSM 17093,Truepera radiovictrix DSM 17093
Firmicutes_Tenericutes_2907,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus apis,,Lactobacillus apis
Proteobacteria_11166,Bacteria,Proteobacteria,,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Bacterioplanes,Bacterioplanes sanyensis,,Bacterioplanes sanyensis
Proteobacteria_11288,Bacteria,Proteobacteria,,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas titanicae,,Halomonas titanicae
Proteobacteria_237,Bacteria,Proteobacteria,,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus parainfluenzae,,Haemophilus parainfluenzae
Proteobacteria_3051,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter hormaechei,,Enterobacter hormaechei
Proteobacteria_4410,Bacteria,Proteobacteria,,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas media,,Aeromonas media
Proteobacteria_5396,Bacteria,Proteobacteria,,Gammaproteobacteria,Thiotrichales,Francisellaceae,,,,Francisellaceae
Proteobacteria_6375,Bacteria,Proteobacteria,,Epsilonproteobacteria,,,,,,Epsilonproteobacteria
Proteobacteria_6649,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Hyphomicrobium,Hyphomicrobium sp. MC1,,Hyphomicrobium sp. MC1
Proteobacteria_7712,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas taxi,,Sphingomonas taxi
Proteobacteria_7856,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Skermanella,,,Skermanella
Proteobacteria_8208,Bacteria,Proteobacteria,,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Gallionella,Gallionella capsiferriformans,Gallionella capsiferriformans ES-2,Gallionella capsiferriformans ES-2
Proteobacteria_8702,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,,,Acidovorax
Proteobacteria_8759,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Hydrogenophaga taeniospiralis,,Hydrogenophaga taeniospiralis
Proteobacteria_8823,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,,,,,Burkholderiales
Proteobacteria_8827,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,,,,,Burkholderiales
Proteobacteria_8846,Bacteria,Proteobacteria,,Betaproteobacteria,,,,,,Betaproteobacteria
Proteobacteria_9453,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacter,Oxalobacter formigenes,,Oxalobacter formigenes
Proteobacteria_9618,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ephemeroptericola,Ephemeroptericola cinctiostellae,,Ephemeroptericola cinctiostellae
Proteobacteria_9625,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,,,Sutterella
Proteobacteria_9730,Bacteria,Proteobacteria,,Gammaproteobacteria,,,,,,Gammaproteobacteria
Proteobacteria_9745,Bacteria,Proteobacteria,,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,Luteimonas chenhongjianii,,Luteimonas chenhongjianii
Proteobacteria_9930,Bacteria,Proteobacteria,,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,Pseudoxanthomonas sp. X-1,,Pseudoxanthomonas sp. X-1
Proteobacteria_10210,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Entomomonas,Entomomonas sp. F2A,,Entomomonas sp. F2A
Proteobacteria_6801,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Bartonellaceae,Bartonella,Bartonella apis,,Bartonella apis
Proteobacteria_8416,Bacteria,Proteobacteria,,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,Snodgrassella alvi,Snodgrassella alvi wkB2,Snodgrassella alvi wkB2
Actinobacteria_2158,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Micrococcales,Microbacteriaceae,Leucobacter,Leucobacter viscericola,,Leucobacter viscericola
Actinobacteria_99,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,,,Streptomyces
Cyanobacteria_20,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,Pseudanabaenales,Leptolyngbyaceae,Leptolyngbya,Leptolyngbya boryana,Leptolyngbya boryana IU 594,Leptolyngbya boryana IU 594
Firmicutes_Tenericutes_4595,Bacteria,Firmicutes,Terrabacteria group,,,,,,,Terrabacteria group
Fusobacteria_60,Bacteria,Fusobacteria,,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum,,Fusobacterium nucleatum
Proteobacteria_11772,Bacteria,Proteobacteria,,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,,,Acinetobacter
Proteobacteria_4495,Bacteria,Proteobacteria,,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas sp. FDAARGOS 1419,,Aeromonas sp. FDAARGOS 1419
Proteobacteria_494,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,,,Serratia
Proteobacteria_6481,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Boseaceae,Bosea,,,Bosea
Proteobacteria_6963,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,,,,Rhizobiaceae
Proteobacteria_7364,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudorhodobacter,Pseudorhodobacter turbinis,,Pseudorhodobacter turbinis
Proteobacteria_7370,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Cereibacter,Cereibacter sphaeroides,,Cereibacter sphaeroides
Proteobacteria_7699,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. KC8,,Sphingomonas sp. KC8
Proteobacteria_8638,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,,,Comamonas
Firmicutes_Tenericutes_1436,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus licheniformis,,Bacillus licheniformis
Firmicutes_Tenericutes_1475,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus paralicheniformis,,Bacillus paralicheniformis
Firmicutes_Tenericutes_1627,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus pumilus,,Bacillus pumilus
Firmicutes_Tenericutes_1917,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes,,Listeria monocytogenes
Firmicutes_Tenericutes_1923,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes,,Listeria monocytogenes
Firmicutes_Tenericutes_1994,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Lactobacillales,Enterococcaceae,Melissococcus,Melissococcus plutonius,,Melissococcus plutonius
Firmicutes_Tenericutes_2101,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus casseliflavus,,Enterococcus casseliflavus
Firmicutes_Tenericutes_2822,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Lactobacillales,Lactobacillaceae,,,,Lactobacillaceae
Firmicutes_Tenericutes_3136,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus fermentum,,Limosilactobacillus fermentum
Firmicutes_Tenericutes_3513,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,,Abiotrophia defectiva
Firmicutes_Tenericutes_3849,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,,Staphylococcus aureus
Firmicutes_Tenericutes_4104,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Bacillales,Staphylococcaceae,,,,Staphylococcaceae
Firmicutes_Tenericutes_4732,Bacteria,,,,,,,,,Bacteria
Proteobacteria_10264,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,,Pseudomonas aeruginosa
